15:23:30.109 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.111 INFO    thonny: TIME/MODS 0.002 Sending message ProgramOutput 
15:23:30.113 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.116 INFO    thonny: TIME/MODS 0.003 Sending message ProgramOutput 
15:23:30.117 INFO    thonny: TIME/MODS 0.002 Sending message ProgramOutput 
15:23:30.119 INFO    thonny: TIME/MODS 0.002 Sending message ProgramOutput 
15:23:30.120 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.123 INFO    thonny: TIME/MODS 0.003 Sending message ProgramOutput 
15:23:30.124 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.125 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.126 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.127 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.128 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.136 INFO    thonny: TIME/MODS 0.008 Sending message ProgramOutput 
15:23:30.136 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.137 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.138 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.139 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.139 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.141 INFO    thonny: TIME/MODS 0.002 Sending message ProgramOutput 
15:23:30.143 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.144 INFO    thonny: TIME/MODS 0.002 Sending message ProgramOutput 
15:23:30.145 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.146 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.146 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.151 INFO    thonny: TIME/MODS 0.004 Sending message ProgramOutput 
15:23:30.152 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
15:23:30.153 INFO    thonny: TIME/MODS 0.001 Sending message ProgramOutput 
